 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         500
  0.12420E+01  0.64940E+00  0.64940E+00
  0.12460E+01  0.64729E+00  0.64729E+00
  0.12500E+01  0.64520E+00  0.64520E+00
  0.12540E+01  0.64313E+00  0.64313E+00
  0.12580E+01  0.64107E+00  0.64107E+00
  0.12620E+01  0.63902E+00  0.63902E+00
  0.12660E+01  0.63700E+00  0.63700E+00
  0.12700E+01  0.63499E+00  0.63499E+00
  0.12740E+01  0.63300E+00  0.63300E+00
  0.12780E+01  0.63103E+00  0.63103E+00
  0.12820E+01  0.62908E+00  0.62908E+00
  0.12860E+01  0.62715E+00  0.62715E+00
  0.12900E+01  0.62523E+00  0.62523E+00
  0.12940E+01  0.62334E+00  0.62334E+00
  0.12980E+01  0.62148E+00  0.62148E+00
  0.13020E+01  0.61963E+00  0.61963E+00
  0.13060E+01  0.61781E+00  0.61781E+00
  0.13100E+01  0.61600E+00  0.61600E+00
  0.13140E+01  0.61423E+00  0.61423E+00
  0.13180E+01  0.61248E+00  0.61248E+00
  0.13220E+01  0.61075E+00  0.61075E+00
  0.13260E+01  0.60905E+00  0.60905E+00
  0.13300E+01  0.60737E+00  0.60737E+00
  0.13340E+01  0.60573E+00  0.60573E+00
  0.13380E+01  0.60411E+00  0.60411E+00
  0.13420E+01  0.60252E+00  0.60252E+00
  0.13460E+01  0.60095E+00  0.60095E+00
  0.13500E+01  0.59942E+00  0.59942E+00
  0.13540E+01  0.59792E+00  0.59792E+00
  0.13580E+01  0.59644E+00  0.59644E+00
  0.13620E+01  0.59500E+00  0.59500E+00
  0.13660E+01  0.59359E+00  0.59359E+00
  0.13700E+01  0.59221E+00  0.59221E+00
  0.13740E+01  0.59087E+00  0.59087E+00
  0.13780E+01  0.58956E+00  0.58956E+00
  0.13820E+01  0.58828E+00  0.58828E+00
  0.13860E+01  0.58704E+00  0.58704E+00
  0.13900E+01  0.58583E+00  0.58583E+00
  0.13940E+01  0.58466E+00  0.58466E+00
  0.13980E+01  0.58353E+00  0.58353E+00
  0.14020E+01  0.58243E+00  0.58243E+00
  0.14060E+01  0.58137E+00  0.58137E+00
  0.14100E+01  0.58034E+00  0.58034E+00
  0.14140E+01  0.57936E+00  0.57936E+00
  0.14180E+01  0.57841E+00  0.57841E+00
  0.14220E+01  0.57751E+00  0.57751E+00
  0.14260E+01  0.57664E+00  0.57664E+00
  0.14300E+01  0.57581E+00  0.57581E+00
  0.14340E+01  0.57502E+00  0.57502E+00
  0.14380E+01  0.57428E+00  0.57428E+00
  0.14420E+01  0.57357E+00  0.57357E+00
  0.14460E+01  0.57291E+00  0.57291E+00
  0.14500E+01  0.57228E+00  0.57228E+00
  0.14540E+01  0.57170E+00  0.57170E+00
  0.14580E+01  0.57116E+00  0.57116E+00
  0.14620E+01  0.57067E+00  0.57067E+00
  0.14660E+01  0.57021E+00  0.57021E+00
  0.14700E+01  0.56980E+00  0.56980E+00
  0.14740E+01  0.56943E+00  0.56943E+00
  0.14780E+01  0.56911E+00  0.56911E+00
  0.14820E+01  0.56882E+00  0.56882E+00
  0.14860E+01  0.56858E+00  0.56858E+00
  0.14900E+01  0.56839E+00  0.56839E+00
  0.14940E+01  0.56823E+00  0.56823E+00
  0.14980E+01  0.56812E+00  0.56812E+00
  0.15020E+01  0.56806E+00  0.56806E+00
  0.15060E+01  0.56803E+00  0.56803E+00
  0.15100E+01  0.56805E+00  0.56805E+00
  0.15140E+01  0.56811E+00  0.56811E+00
  0.15180E+01  0.56822E+00  0.56822E+00
  0.15220E+01  0.56837E+00  0.56837E+00
  0.15260E+01  0.56856E+00  0.56856E+00
  0.15300E+01  0.56879E+00  0.56879E+00
  0.15340E+01  0.56906E+00  0.56906E+00
  0.15380E+01  0.56938E+00  0.56938E+00
  0.15420E+01  0.56973E+00  0.56973E+00
  0.15460E+01  0.57013E+00  0.57013E+00
  0.15500E+01  0.57057E+00  0.57057E+00
  0.15540E+01  0.57104E+00  0.57104E+00
  0.15580E+01  0.57156E+00  0.57156E+00
  0.15620E+01  0.57212E+00  0.57212E+00
  0.15660E+01  0.57271E+00  0.57271E+00
  0.15700E+01  0.57335E+00  0.57335E+00
  0.15740E+01  0.57402E+00  0.57402E+00
  0.15780E+01  0.57473E+00  0.57473E+00
  0.15820E+01  0.57548E+00  0.57548E+00
  0.15860E+01  0.57626E+00  0.57626E+00
  0.15900E+01  0.57708E+00  0.57708E+00
  0.15940E+01  0.57793E+00  0.57793E+00
  0.15980E+01  0.57882E+00  0.57882E+00
  0.16020E+01  0.57974E+00  0.57974E+00
  0.16060E+01  0.58070E+00  0.58070E+00
