X,                                          T,                                              var_rho,
1.070107053965330124e-02 9.938099980354309082e-01 9.754695296287536621e-01
1.080107968300580978e-02 9.937523007392883301e-01 9.752430319786071777e-01
1.090108975768089294e-02 9.936946034431457520e-01 9.750165343284606934e-01
1.100109983235597610e-02 9.936367869377136230e-01 9.747896790504455566e-01
1.110110990703105927e-02 9.935792088508605957e-01 9.745637178421020508e-01
1.120111998170614243e-02 9.935212731361389160e-01 9.743364453315734863e-01
1.130113005638122559e-02 9.934635162353515625e-01 9.741098880767822266e-01
1.140114013105630875e-02 9.934056997299194336e-01 9.738831520080566406e-01
1.150115020573139191e-02 9.933479428291320801e-01 9.736567139625549316e-01
1.160116028040647507e-02 9.932901263236999512e-01 9.734300374984741211e-01
1.170117035508155823e-02 9.932323694229125977e-01 9.732036590576171875e-01
1.180118042975664139e-02 9.931744933128356934e-01 9.729768037796020508e-01
1.190119050443172455e-02 9.931169152259826660e-01 9.727512001991271973e-01
1.200120057910680771e-02 9.930589795112609863e-01 9.725242257118225098e-01
1.210120972245931625e-02 9.930011630058288574e-01 9.722977876663208008e-01
1.220121979713439941e-02 9.929433465003967285e-01 9.720713496208190918e-01
1.230122987180948257e-02 9.928855299949645996e-01 9.718449711799621582e-01
1.240123994648456573e-02 9.928275942802429199e-01 9.716181755065917969e-01
1.250125002115964890e-02 9.927698969841003418e-01 9.713923335075378418e-01
1.260126009583473206e-02 9.927118420600891113e-01 9.711651206016540527e-01
1.270127017050981522e-02 9.926541447639465332e-01 9.709393382072448730e-01
1.280128024518489838e-02 9.925962090492248535e-01 9.707127213478088379e-01
1.290129031985998154e-02 9.925383925437927246e-01 9.704865813255310059e-01
1.300130039453506470e-02 9.924804568290710449e-01 9.702599644660949707e-01
1.310131046921014786e-02 9.924226403236389160e-01 9.700339436531066895e-01
1.320132054388523102e-02 9.923648238182067871e-01 9.698078632354736328e-01
1.330132968723773956e-02 9.923068881034851074e-01 9.695814251899719238e-01
1.340133976191282272e-02 9.922490715980529785e-01 9.693554639816284180e-01
1.350134983658790588e-02 9.921910166740417480e-01 9.691286683082580566e-01
1.360135991126298904e-02 9.921332001686096191e-01 9.689027667045593262e-01
1.370136998593807220e-02 9.920752644538879395e-01 9.686764478683471680e-01
1.380138006061315536e-02 9.920173287391662598e-01 9.684502482414245605e-01
1.390139013528823853e-02 9.919595122337341309e-01 9.682244658470153809e-01
1.400140020996332169e-02 9.919015765190124512e-01 9.679982662200927734e-01
1.410141028463840485e-02 9.918436408042907715e-01 9.677721261978149414e-01
1.420142035931348801e-02 9.917857050895690918e-01 9.675460457801818848e-01
1.430143043398857117e-02 9.917277097702026367e-01 9.673197865486145020e-01
1.440144050866365433e-02 9.916697144508361816e-01 9.670935273170471191e-01
1.450145058333873749e-02 9.916117787361145020e-01 9.668675065040588379e-01
1.460145972669124603e-02 9.915538430213928223e-01 9.666416049003601074e-01
1.470146980136632919e-02 9.914959073066711426e-01 9.664157032966613770e-01
1.480147987604141235e-02 9.914378523826599121e-01 9.661893844604492188e-01
