 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         500
  0.10575E+00  0.26899E+00  0.26462E+00
  0.10625E+00  0.26891E+00  0.26454E+00
  0.10675E+00  0.26883E+00  0.26445E+00
  0.10725E+00  0.26875E+00  0.26437E+00
  0.10775E+00  0.26866E+00  0.26428E+00
  0.10825E+00  0.26858E+00  0.26420E+00
  0.10875E+00  0.26850E+00  0.26411E+00
  0.10925E+00  0.26841E+00  0.26403E+00
  0.10975E+00  0.26833E+00  0.26394E+00
  0.11025E+00  0.26824E+00  0.26385E+00
  0.11075E+00  0.26816E+00  0.26376E+00
  0.11125E+00  0.26807E+00  0.26367E+00
  0.11175E+00  0.26799E+00  0.26359E+00
  0.11225E+00  0.26790E+00  0.26350E+00
  0.11275E+00  0.26781E+00  0.26341E+00
  0.11325E+00  0.26773E+00  0.26332E+00
  0.11375E+00  0.26764E+00  0.26322E+00
  0.11425E+00  0.26755E+00  0.26313E+00
  0.11475E+00  0.26746E+00  0.26304E+00
  0.11525E+00  0.26737E+00  0.26295E+00
  0.11575E+00  0.26728E+00  0.26286E+00
  0.11625E+00  0.26719E+00  0.26276E+00
  0.11675E+00  0.26710E+00  0.26267E+00
  0.11725E+00  0.26701E+00  0.26257E+00
  0.11775E+00  0.26691E+00  0.26248E+00
  0.11825E+00  0.26682E+00  0.26238E+00
  0.11875E+00  0.26673E+00  0.26229E+00
  0.11925E+00  0.26664E+00  0.26219E+00
  0.11975E+00  0.26654E+00  0.26209E+00
  0.12025E+00  0.26645E+00  0.26200E+00
  0.12075E+00  0.26635E+00  0.26190E+00
  0.12125E+00  0.26626E+00  0.26180E+00
  0.12175E+00  0.26616E+00  0.26170E+00
  0.12225E+00  0.26606E+00  0.26160E+00
  0.12275E+00  0.26597E+00  0.26150E+00
  0.12325E+00  0.26587E+00  0.26140E+00
  0.12375E+00  0.26577E+00  0.26130E+00
  0.12425E+00  0.26567E+00  0.26120E+00
  0.12475E+00  0.26557E+00  0.26109E+00
  0.12525E+00  0.26547E+00  0.26099E+00
  0.12575E+00  0.26537E+00  0.26089E+00
  0.12625E+00  0.26527E+00  0.26078E+00
  0.12675E+00  0.26517E+00  0.26068E+00
  0.12725E+00  0.26507E+00  0.26057E+00
  0.12775E+00  0.26497E+00  0.26047E+00
  0.12825E+00  0.26486E+00  0.26036E+00
  0.12875E+00  0.26476E+00  0.26025E+00
  0.12925E+00  0.26466E+00  0.26015E+00
  0.12975E+00  0.26455E+00  0.26004E+00
  0.13025E+00  0.26445E+00  0.25993E+00
  0.13075E+00  0.26434E+00  0.25982E+00
  0.13125E+00  0.26424E+00  0.25971E+00
  0.13175E+00  0.26413E+00  0.25960E+00
  0.13225E+00  0.26402E+00  0.25949E+00
  0.13275E+00  0.26391E+00  0.25938E+00
  0.13325E+00  0.26381E+00  0.25927E+00
  0.13375E+00  0.26370E+00  0.25915E+00
  0.13425E+00  0.26359E+00  0.25904E+00
  0.13475E+00  0.26348E+00  0.25893E+00
  0.13525E+00  0.26337E+00  0.25881E+00
  0.13575E+00  0.26326E+00  0.25870E+00
  0.13625E+00  0.26314E+00  0.25858E+00
