 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         500
  0.74600E+00  0.92800E+00  0.92795E+00
  0.75000E+00  0.92585E+00  0.92580E+00
  0.75400E+00  0.92368E+00  0.92363E+00
  0.75800E+00  0.92148E+00  0.92143E+00
  0.76200E+00  0.91925E+00  0.91921E+00
  0.76600E+00  0.91699E+00  0.91695E+00
  0.77000E+00  0.91471E+00  0.91467E+00
  0.77400E+00  0.91240E+00  0.91237E+00
  0.77800E+00  0.91007E+00  0.91004E+00
  0.78200E+00  0.90771E+00  0.90769E+00
  0.78600E+00  0.90533E+00  0.90531E+00
  0.79000E+00  0.90292E+00  0.90290E+00
  0.79400E+00  0.90049E+00  0.90047E+00
  0.79800E+00  0.89804E+00  0.89802E+00
  0.80200E+00  0.89556E+00  0.89555E+00
  0.80600E+00  0.89306E+00  0.89305E+00
  0.81000E+00  0.89053E+00  0.89053E+00
  0.81400E+00  0.88799E+00  0.88799E+00
  0.81800E+00  0.88542E+00  0.88543E+00
  0.82200E+00  0.88283E+00  0.88285E+00
  0.82600E+00  0.88023E+00  0.88024E+00
  0.83000E+00  0.87760E+00  0.87762E+00
  0.83400E+00  0.87495E+00  0.87497E+00
  0.83800E+00  0.87228E+00  0.87230E+00
  0.84200E+00  0.86959E+00  0.86962E+00
  0.84600E+00  0.86688E+00  0.86692E+00
  0.85000E+00  0.86415E+00  0.86420E+00
  0.85400E+00  0.86141E+00  0.86146E+00
  0.85800E+00  0.85865E+00  0.85870E+00
  0.86200E+00  0.85587E+00  0.85593E+00
  0.86600E+00  0.85307E+00  0.85314E+00
  0.87000E+00  0.85026E+00  0.85033E+00
  0.87400E+00  0.84743E+00  0.84751E+00
  0.87800E+00  0.84459E+00  0.84467E+00
  0.88200E+00  0.84173E+00  0.84181E+00
  0.88600E+00  0.83886E+00  0.83895E+00
  0.89000E+00  0.83597E+00  0.83606E+00
  0.89400E+00  0.83307E+00  0.83317E+00
  0.89800E+00  0.83016E+00  0.83026E+00
  0.90200E+00  0.82723E+00  0.82734E+00
  0.90600E+00  0.82429E+00  0.82440E+00
