 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         500
  0.83000E+00  0.87693E+00  0.87693E+00
  0.83400E+00  0.87490E+00  0.87490E+00
  0.83800E+00  0.87285E+00  0.87285E+00
  0.84200E+00  0.87078E+00  0.87078E+00
  0.84600E+00  0.86869E+00  0.86869E+00
  0.85000E+00  0.86659E+00  0.86659E+00
  0.85400E+00  0.86447E+00  0.86447E+00
  0.85800E+00  0.86233E+00  0.86233E+00
  0.86200E+00  0.86018E+00  0.86018E+00
  0.86600E+00  0.85801E+00  0.85801E+00
  0.87000E+00  0.85582E+00  0.85582E+00
  0.87400E+00  0.85362E+00  0.85362E+00
  0.87800E+00  0.85141E+00  0.85141E+00
  0.88200E+00  0.84918E+00  0.84918E+00
  0.88600E+00  0.84693E+00  0.84693E+00
  0.89000E+00  0.84467E+00  0.84467E+00
  0.89400E+00  0.84240E+00  0.84240E+00
  0.89800E+00  0.84011E+00  0.84011E+00
  0.90200E+00  0.83781E+00  0.83781E+00
  0.90600E+00  0.83549E+00  0.83549E+00
  0.91000E+00  0.83316E+00  0.83316E+00
  0.91400E+00  0.83082E+00  0.83082E+00
  0.91800E+00  0.82847E+00  0.82847E+00
  0.92200E+00  0.82610E+00  0.82610E+00
  0.92600E+00  0.82372E+00  0.82372E+00
  0.93000E+00  0.82133E+00  0.82133E+00
  0.93400E+00  0.81893E+00  0.81893E+00
  0.93800E+00  0.81651E+00  0.81651E+00
  0.94200E+00  0.81409E+00  0.81409E+00
  0.94600E+00  0.81165E+00  0.81165E+00
  0.95000E+00  0.80921E+00  0.80921E+00
  0.95400E+00  0.80675E+00  0.80675E+00
  0.95800E+00  0.80429E+00  0.80429E+00
  0.96200E+00  0.80181E+00  0.80181E+00
  0.96600E+00  0.79932E+00  0.79932E+00
  0.97000E+00  0.79683E+00  0.79683E+00
  0.97400E+00  0.79433E+00  0.79433E+00
  0.97800E+00  0.79182E+00  0.79182E+00
  0.98200E+00  0.78930E+00  0.78930E+00
  0.98600E+00  0.78677E+00  0.78677E+00
  0.99000E+00  0.78424E+00  0.78424E+00
